,title,label
0,House Dem Aide: We Didn’t Even See Comey’s Letter Until Jason Chaffetz Tweeted It,1
1,"FLYNN: Hillary Clinton, Big Woman on Campus - Breitbart",0
2,Why the Truth Might Get You Fired,1
3,15 Civilians Killed In Single US Airstrike Have Been Identified,1
4,Iranian woman jailed for fictional unpublished story about woman stoned to death for adultery,1
5,Jackie Mason: Hollywood Would Love Trump if He Bombed North Korea over Lack of Trans Bathrooms (Exclusive Video) - Breitbart,0
6,"Life: Life Of Luxury: Elton John’s 6 Favorite Shark Pictures To Stare At During Long, Transcontinental Flights",1
7,Benoît Hamon Wins French Socialist Party’s Presidential Nomination - The New York Times,0
8,Excerpts From a Draft Script for Donald Trump’s Q&ampA With a Black Church’s Pastor - The New York Times,0
9,"A Back-Channel Plan for Ukraine and Russia, Courtesy of Trump Associates - The New York Times",0
10,Obama’s Organizing for Action Partners with Soros-Linked ‘Indivisible’ to Disrupt Trump’s Agenda,0
11,"BBC Comedy Sketch ""Real Housewives of ISIS"" Causes Outrage",0
12,Russian Researchers Discover Secret Nazi Military Base ‘Treasure Hunter’ in the Arctic [Photos],1
13,US Officials See No Link Between Trump and Russia,1
14,"Re: Yes, There Are Paid Government Trolls On Social Media, Blogs, Forums And Websites",1
15,"In Major League Soccer, Argentines Find a Home and Success - The New York Times",0
16,Wells Fargo Chief Abruptly Steps Down - The New York Times,0
17,Anonymous Donor Pays $2.5 Million To Release Everyone Arrested At The Dakota Access Pipeline,1
18,FBI Closes In On Hillary!,1
19,Chuck Todd: ’BuzzFeed Did Donald Trump a Political Favor’ - Breitbart,0
20,News: Hope For The GOP: A Nude Paul Ryan Has Just Emerged From An Ayahuasca Tent With Visions Of A New Republican Party,1
21,"Monica Lewinsky, Clinton Sex Scandal Set for ’American Crime Story’",0
22,Rob Reiner: Trump Is ’Mentally Unstable’ - Breitbart,0
23,Massachusetts Cop’s Wife Busted for Pinning Fake Home-Invasion Robbery on Black Lives Matter,1
24,Abortion Pill Orders Rise in 7 Latin American Nations on Zika Alert - The New York Times,0
25,Nukes and the UN: a Historic Treaty to Ban Nuclear Weapons,1
26,EXCLUSIVE: Islamic State Supporters Vow to ‘Shake’ the West Following Manchester Terrorist Massacre - Breitbart,0
27,Humiliated Hillary Tries To Hide What Camera Caught 15 Mins Before Rally,1
28,Andrea Tantaros of Fox News Claims Retaliation for Sex Harassment Complaints - The New York Times,0
29,How Hillary Clinton Became a Hawk - The New York Times,0
30,Chuck Todd to BuzzFeed EIC: ’You Just Published Fake News’ - Breitbart,0
31,Israel is Becoming Pivotal to China’s Mid-Eastern Calculus http://journal-neo.org/2016/11/07/israel-is-becoming-pivotal-to-china-s-mid-eastern-calculus/,1
32,"Having Won, Boris Johnson and ‘Brexit’ Leaders Fumble - The New York Times",0
33,"Texas Oil Fields Rebound From Price Lull, but Jobs Are Left Behind - The New York Times",0
34,"Bayer Deal for Monsanto Follows Agribusiness Trend, Raising Worries for Farmers - The New York Times",0
35,Russia Moves to Ban Jehovah’s Witnesses as ‘Extremist’ - The New York Times,0
36,"Re: Why We Are Still In ‘The Danger Zone’ Until January 20th, 2017",1
37,Open Thread (NOT U.S. Election) 2016-39,1
38,Democrat Gutierrez Blames Chicago’s Gun Violence on NRA - Breitbart,0
39,Avoiding Peanuts to Avoid an Allergy Is a Bad Strategy for Most - The New York Times,0
40,MRI Shows Detailed Images of 20-Week Unborn Babies - Breitbart,0
41,4 of the Best Kinds of Milk That Aren’t Dairy,1
42,Ryan Lochte Dropped by Speedo USA and Other Retailers - The New York Times,0
43,Can I have one girlfriend without you bastards f**king it up? asks Harry,1
44,Conservatives Urge Sessions to Clean Out Obama’s Civil Rights Division - Breitbart,0
45,Internal Inquiry Sealed the Fate of Roger Ailes at Fox - The New York Times,0
46,"Press TV Debate: Duff on Lebanon, Hezbollah and Aoun’s Presidency (3 videos)",1
47,"СМИ Сербии приписали россиянам ""подготовку терактов"" в Черногории",1
48,"Samsung, After Combustible Galaxy Note 7, Unveils New Smartphone - The New York Times",0
49,Poland Vows Referendum on Migrant Quota Amidst EU Pressure: ’The Public’s Voice Will Be Heard’ - Breitbart,0
50,Sparking An Inner Revolution,1
51,Dueling Drills Further Increase NATO Russia Tensions,1
52,Study: More Than Half of Car Crashes Involve Drivers Distracted by Cell Phones - Breitbart,0
53,,1
54,Samantha Bee Explores the Dangerous Rise of the Alt Right in American Politics (Video),1
55,The Trump Election Will Spark More Individual & Collective Healing,1
56,Ep. 544 FADE to BLACK Jimmy Church w/ Laura Eisenhower : Restoring the Balance [VIDEO],1
57,Cognition and True Islam - A Book Review,1
58,"If Donald Trump Wins The Election, It Will Be The Biggest Miracle In US Political History",1
59,Mindful Eating as Way to Fight Bingeing - The New York Times,0
60,The Major Potential Impact of a Corporate Tax Overhaul - The New York Times,0
61,I wonder what GLP will be like the day after the election?,1
62,3 Makers of World’s Smallest Machines Awarded Nobel Prize in Chemistry - The New York Times,0
63,"Massive Anti-Trump Protests, Union Square NYC Live Stream",1
64,"Review: ‘Lion’ Brings Tears for a Lost Boy, Wiped Dry by Google - The New York Times",0
65,U.S. General: Islamic State Chemical Attack Had ’No Impact’ on U.S. Forces,0
66,"Jury finds all Oregon standoff defendants not guilty of federal conspiracy, gun charges",1
67,Clinton Campaign STUNNED As FBI Reportedly Reopens Probe Into Hillary Clinton Emails,1
68,Pence Will Speak at Anti-Abortion Rally - The New York Times,0
69,Bernie Sanders Says What The Media Won’t: Trump Is A Gutless Political Coward,1
70,How To Make Briquettes From Daily Waste,1
71,Treason! NYT vows 'rededication' to reporting!,1
72,Dress Like a Woman? What Does That Mean? - The New York Times,0
73,"At 91, Ella Brennan Still Feeds (and Leads) New Orleans - The New York Times",0
74,"Pressing Asia Agenda, Obama Treads Lightly on Human Rights - The New York Times",0
75,Democrats Have a 60 Percent Chance to Retake the Senate - The New York Times,0
76,"News: PR Disaster: The President Of Panasonic Has Been Forced To Resign After 60,000 Panasonic TVs Ascended To Heaven Without Warning",1
77,Judge spanks transgender-obsessed Obama: You lie! | RedFlag News,1
78,51 U.S. Diplomats Urge Strikes Against Assad in Syria - The New York Times,0
79,Franken Calls for ’Independent Investigation’ Into Trump’s ’Putin Crush’ - Breitbart,0
80,"Louisiana, Simone Biles, U.S. Presidential Race: Your Tuesday Evening Briefing - The New York Times",0
81,Turkey Threatens to Open Migrant ’Land Passage’ to Europe After Row With Dutch,0
82,Huma’s Weiner Dogs Hillary,1
83,Colin Kaepernick Starts Black Panther-Inspired Youth Camp? Wow!,1
84,Trump’s Immigration Policies Explained - The New York Times,0
85,Mary Tyler Moore Is Mourned by Dick Van Dyke and Other Stars - The New York Times,0
86,Poison,1
87,Trump Fans Rally Across the Nation to Support the President - The New York Times,0
88,Fox Biz Reporter Can't Help But Bash Clinton’s Rally After Covering Trump’s Packed Event Day Before,1
89,11 Fiction Podcasts Worth a Listen - The New York Times,0
90,Mike Birbiglia’s 6 Tips for Making It Small in Hollywood. Or Anywhere. - The New York Times,0
91,Investment Strategist Forecasts Collapse Timeline: ‘The Last Gasp Of This Economic Cycle Will Come In 2018’,1
92,"Venezuela Muzzles Legislature, Moving Closer to One-Man Rule - The New York Times",0
93,"Whether it's John McCain, Mitt Romney or Donald Trump, Democrats always run 'War on Women' tactic to destroy the Republican candidate",1
94,Breitbart News Daily: Trump Boom - Breitbart,0
95,White House Confirms More Gitmo Transfers Before Obama Leaves Office,0
96,The Geometry of Energy and Meditation of Buddha,1
97,Poll: Most Voters Have Not Heard of Democratic 2020 Election Candidates - Breitbart,0
98,Migrants Confront Judgment Day Over Old Deportation Orders - The New York Times,0
99,"M.I.T., N.Y.U. and Yale Are Sued Over Retirement Plan Fees - The New York Times",0
100,Technocracy: The Real Reason Why The UN Wants Control Over The Internet,1
101,American Drivers Regain Appetite for Gas Guzzlers - The New York Times,0
102,"Hillary Clinton Builds $150 Million War Chest, Doubling Donald Trump - The New York Times",0
103,"Trump Catches What Sick Reporter Snuck In Interview, Has Priceless Response",1
104,All 100 Senators Contacted Russian Government This Week,0
105,10 Images That Perfectly Illustrate the Struggle Against the Dakota Access Pipeline,1
106,"Washington State Takes 10 Refugees, 0 Muslim Rest of Country Takes 189 Refugees, 151 Muslim - Breitbart",0
107,Houthi forces capture Saudi military base in Asir - Russia News Now,1
108,"NCAA, Big 12 Keeps Watchful Eye on Texas Bathroom Bill - Breitbart",0
109,"Massive ESPN Financial, Subscriber Losses Drag Down Disney’s First-Quarter Sales - Breitbart",0
110,"Megyn Kelly, Contract Set to Expire Next Year, Is Primed for the Big Show - The New York Times",0
111,Teacher Suspended for Allowing Students to Hit Trump Pinata for Cinco de Mayo,0
112,BREAKING : Trump Expressed Concern Over Anthony Weiner’s “Illegal Access” to Classified Info 2 Months ago – TruthFeed,1
113,Snap Shares Leap 44% in Debut as Investors Doubt Value Will Vanish - The New York Times,0
114,Clinton Campaign Chair Had Dinner With Top DOJ Official One Day After Hillary’s Benghazi Hearing,1
115,"TV Series About ’First Female MLB Pitcher’ Canned After One, Low-Rated Season - Breitbart",0
116,"Seeking Best Fit, Women’s Final Four Returns to Friday-Sunday - The New York Times",0
117,A Proposal for a Canadian National Bird Ruffles Feathers - The New York Times,0
118,Review: Beyoncé Makes ‘Lemonade’ Out of Marital Strife - The New York Times,0
119,"Trump to Ask for Sharp Increases in Military Spending, Officials Say - The New York Times",0
120,,1
121,Why Is This Not Watergate? Smoking Gun Emails Discuss “Cleaning Up” Obama/Hillary Emails,1
122,“Chapo Trap House”: New Left-Wing Podcast is a Flagrant Rip-Off of The Right Stuff,1
123,Taiwan Responds After China Sends Carrier to Taiwan Strait - The New York Times,0
124,,1
125,The Mother Of All October Surprises—Why The House Of Cards Will Now Come Tumbling Down,1
126,Explosive Assange/Pilger Interview on US Election: Expect Riots if Hillary Wins,1
127,Telescope That ‘Ate Astronomy’ Is on Track to Surpass Hubble - The New York Times,0
128,Closed Afghan-Pakistani Border Is Becoming ‘Humanitarian Crisis’ - The New York Times,0
129,TV Anchors Arrive at the White House for Lunch with Donald Trump - Breitbart,0
130,Pelosi: Republicans Should Tell Trump He’s ’Bringing Dishonor’ to the Presidency - Breitbart,0
131,The Beautiful Prehistoric World: Is Earth Now a Wasteland?,1
132,I Ignored Trump News for a Week. Here’s What I Learned. - The New York Times,0
133,Donald Trump Unveils Plan for Families in Bid for Women’s Votes - The New York Times,0
134,"EU, Finland can help settlement of Syria conflict: Iran parliament speaker",1
135,FBI Director Comey’s ‘Leaked’ Memo Explains Why He’s Reopening the Clinton Email Case,1
136,"Montana Democrats Vote Against Bill Banning Sharia Law, Call It ’Repugnant’ - Breitbart",0
137,The Monsanto Tribunal Is Over. How Did It Go? And What Happens Now?,1
138,"The Shame, The Heartbreak- Another Day In America",1
139,It’s Official: Simone Biles Is the World’s Best Gymnast - The New York Times,0
140,,1
141,It Literally Hurts My Brain to Read the Economic Idiocy Emitted by Trumpkins | Libertarian,1
142,Gorafi Magazine : Entretien exclusif avec Barack Obama « Plus rien à secouer. Démerdez-vous » >> Le Gorafi,1
143,U.N. Secretary General Complains That The ‘Masses Have Rejected Globalism’ In Favor Of Nationalism,1
144,Trump Bollywood Ad Meant To Sway Indian American Voters Is An Hilarious Fail (VIDEO),1
145,FBI Finds Previously Unseen Hillary Clinton Emails On Weiner’s Laptop,1
146,"2 Years After This American Journalist Was Killed, Her ‘Conspiracy Theories’ on Syria are Proven as Facts",1
147,Report: Illegal Aliens Forego Food Stamps to Stay off Trump’s Radar,0
148,Make Netherlands Great Again! Hahaha It's Spreading Worldwide!,1
149,"Four killed, 10 Injured in Jerusalem Truck-Ramming Terror Attack",0
150,The Leader Salutes Comrade Newt on Brutal Megyn [sic] Kelly Beatdown: “We Don’t Play Games”,1
151,Students At Black College Just Got Beaten And Maced For Protesting KKK’s David Duke,1
152,"Despite Strict Gun Control, One ’Child or Youth’ Shot Every Day in Ontario",0
153,The Rise of the Internet Fan Bully - The New York Times,0
154,A Newly Vibrant Washington Fears That Trump Will Drain Its Culture - The New York Times,0
155,Fed Holds Interest Rates Steady and Plans Slower Increases - The New York Times,0
156,The Battle at UNESCO,1
157,The Latest Test for the White House? Pulling Off Its Easter Egg Roll - The New York Times,0
158,"Burlesque Dancer Fired, Investigated by Secret Service for Trump Assassination Tweet - Breitbart",0
159,What the Clintons Did to Haiti,1
160,"For Cuomo and Christie, Parallel Paths to the Top, and Trouble When They Got There - The New York Times",0
161,The Top 10 Places In The World You're NOT Allowed To Visit,1
162,"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",1
163,James Mattis Is a Secretary of Offense,1
164,A Black Church Was Just Burned And Spray-Painted “Vote Trump”,1
165,Sears Agrees to Sell Craftsman to Stanley Black &amp Decker to Raise Cash - The New York Times,0
166,Takata Chief Executive to Resign as Financial Pressure Mounts - The New York Times,0
167,"Goodbye, for Good, to Black Sabbath - The New York Times",0
168,Teen ’Geisha Dolls’ Gang Busted for Armed Robberies - Breitbart,0
169,Mohamad Khweis: Another “Virginia Man” (Palestinian-American Muslim) Charged With Terrorism,1
170,Remember This When You Talk About Standing Rock,1
171,Price on Obamacare Replacement: ‘Nobody Will Be Worse Off Financially’ - Breitbart,0
172,VA fails to properly examine thousands of veterans,1
173,Trump family already ‘sworn to secrecy’ about faked Moon landings. More soon.,1
174,Sports Writer: NFL Great Jim Brown’s Decades of Civil Rights Work is Erased for Saying Nice Things About Donald Trump - Breitbart,0
175,Spider-pig Found in Amazon Rain Forest,1
176,‘I Can Watch It on TV’: Excuses for Republicans Skipping a Donald Trump Convention - The New York Times,0
177,This Open Letter To Trump Voters Just Told It “Like It Is”,1
178,Comment on This Powerful Corporate Lobby Is Quietly Backing Hillary — and Nobody’s Talking About It by runsinquicksand,1
179,Teacher unsure about getting smashed eighth night running,1
180,Hijacking Ends Peacefully After Libyan Airliner Lands in Malta - The New York Times,0
181,You Don’t Like the Girls in ‘Girls’? That’s Its Genius. - The New York Times,0
182,Scientists Say Canadian Bacteria Fossils May Be Earth’s Oldest - The New York Times,0
183,Pro-Government Forces Advance in Syria Amid Talk of U.S.-Russia Cooperation - The New York Times,0
184,WHO cancer agency under fire for withholding ‘carcinogenic glyphosate’ documents,1
185,Work. Walk 5 Minutes. Work. - The New York Times,0
186,Militants Used Toxic Gas Near Aleppo Airport – Report,1
187,Steve Harvey Talks Housing With President-Elect Trump - The New York Times,0
188,Coalition: U.S. Troops Fighting in Mosul Offensive ’Come Under Fire’,0
189,UK citizens and war heroes get cheap pre-fab houses while Muslim colonizers get taxpayer-funded luxurious council homes,1
190,"After Vets Fight War, Feds Demand Money Back… But Illegals And Refugees Can Keep Their Money",1
191,Mr. Trump’s Wild Ride - The New York Times,0
192,"Here Is How FBI Director Comey BAMBOOZLED The DOJ, CONGRESS, And The CLINTONS All At Once",1
193,20 Foods That Naturally Unclog Arteries and Prevent Heart Attacks,1
194,Death of the ‘Two-State Solution’,1
195,"Watch: Police viciously attack, arrest peaceful protesters at DAPL including children and the elderly",1
196,,1
197,Comment on Parents on a Date Were Asleep in Car When Cops Arrived and Killed Them Both by FaceSpace,1
198,Could Teaching Men to Nurture Counteract Our Culture of Toxic Masculinity?,1
199,Donald Trump’s Team Shows Few Signs of Post-Election Moderation - The New York Times,0
200,Miami Beach Tries to Tame Its Most Raucous Street (but the Fishbowl Drinks Can Stay) - The New York Times,0
201,Doctors Mysteriously Found Dead After Summit For Breakthrough Cure For Cancer,1
202,"Donald Trump, the Unsinkable Candidate - The New York Times",0
203,"Shocking New Mock Hillary Ad Campaign Warns She’ll Take Us to War: #EnlistforHer, #FightforHer, #DieforHer",1
204,The Failure of US Democracy,1
205,EXCLUSIVE -- Family of Slain Border Patrol Agent Brian Terry Says Eric Holder Among ’The Real Criminals’ Responsible,0
206,Trump Tells Reporters: ‘Walls Work - Just Ask Israel’ - Breitbart,0
207,Will America Survive the Next 4 Years?,1
208,Commissioner Starts to Press Cleveland Indians About Logo - The New York Times,0
209,Re: Babylon Mystery Religion Series,1
210,"The UN Plans To Implant Everyone With A Biometric ID, This Is Not A Drill",1
211,Trump Attacks Senator’s Credibility Over Gorsuch’s Comments - The New York Times,0
212,Clinton Advisor LOSES IT In Leaked Email Over Hillary’s Illegal Activity,1
213,Art Laffer: ’Paul Ryan’s Just About Perfect Right Now’ - Breitbart,0
214,How Donald Trump Will Be Blamed For Economic Crash,1
215,New World Order Pushes Back on Brexit Revolution,1
216,Pokemon Go players are inadvertently stopping people committing suicide in Japan,1
217,California Senate Race Is a Tale of Diversity and a Flailing G.O.P. - The New York Times,0
218,Exclusive: Source Says Megyn Kelly ‘Would Not Be Welcomed Back’ at Fox News,0
219,"In Break With Precedent, Obama Envoys Are Denied Extensions Past Inauguration Day - The New York Times",0
220,How Will ‘Brexit’ Vote Go? Monty Python May Offer Clue - The New York Times,0
221,Blind Mystic Who Predicted 9/11 Has Bad News About Trump,1
222,Total Vetting Fail: Left-Wing Snowden Fan Girl Reality Winner Gets Access to Our NSA Secrets,0
223,,1
224,"In Somalia, U.S. Escalates a Shadow War - The New York Times",0
225,Free Care a ‘Blessing’ for Victims of Orlando Nightclub Attack - The New York Times,0
226,The most durably Democratic county in the country could go for Trump,1
227,"Fed’s Challenge, After Raising Rates, May Be Existential - The New York Times",0
228,"'Russia has no intention of attacking anyone -this is absurd,' says Vladimir Putin",1
229,США—КНР: на кого возлагать ответственность за развитие ракетно-ядерной программы КНДР? | Новое восточное обозрение,1
230,F.A.A. Investigates Errant Flight Involving Harrison Ford - The New York Times,0
231,Ask Holly: What’s everyone’s problem?,1
232,"Fed Raises Key Interest Rate, Citing Strengthening Economy - The New York Times",0
233,"La expresión “no, lo siguiente” ya es la más utilizada no, lo siguiente, en el castellano",1
234,"As Trump Berates News Media, a New Strategy Is Needed to Cover Him - The New York Times",0
235,‘Sunk Costs’: $58 Billion Wasted On Imaginary Weapons Since 1997,1
236,Changing the Montenegrin leader does not change the ideology,1
237,U.S. Drone Strike Targets Taliban Leader - The New York Times,0
238,"U.S. Intelligence: ‘Expect al-Qaeda attacks Monday in New York, Virginia and Texas’",1
239,What If I Told You Cannabis Is Great for Reversing Alzheimer’s?,1
240,Report: Megyn Kelly to Kick Off NBC Show with Kardashian Family Interview,0
241,Your Local 1-Percenters May Not Be as Rich as You Think - The New York Times,0
242,Dr. David Duke with Mark Collett of the UK. Collett explains why Duke & Trump victories would change politics forever!,1
243,"In Statement to Senate, Wells Fargo Chief Is ‘Deeply Sorry’ - The New York Times",0
244,CNN Statement Distances Network from Buzzfeed Fake News Dossier - Breitbart,0
245,"C.E.O.s Ponder a New Game, With Trump’s Rules - The New York Times",0
246,Spicer on Brady’s Stolen Jersey: ’Another Bad on the Press’ - Breitbart,0
247,A Scaredy-Cat’s Investigation Into Why People Enjoy Fear - The New York Times,0
248,The Left’s Vision,1
249,Showdown Looms as U.S. Questions Chinese Deal for German Chip Designer - The New York Times,0
250,FBI Obtains Warrant To Search Huma Abedin's Emails,1
251,Trump Administration to Take Harder Tack on Trade With China - The New York Times,0
252,Pew: American Trust Level in Federal Government Plummets to Historic Lows - Breitbart,0
253,Islamic State Supporting Former National Guardsman Pleads Guilty to Terrorism Charge in Virginia,1
254,Western QLD Drovers Show Solidarity With C.U.B Workers By Only Drinking Sauv Blanc – The Betoota Advocate,1
255,Spicer to Reporter: ’We’re Going to Raise Our Hands Like Big Boys and Girls’ - Breitbart,0
256,Leaders Applaud Gorsuch Confirmation as ’Win for Pro-Life Movement’,0
257,Newsticker (974),1
258,French Vogue’s March Cover Features a Transgender Model - The New York Times,0
259,Trump Veers From Party Line on Gun Control - The New York Times,0
260,How the Oligarchy Has Prepared the Groundwork for Stealing the Election,1
261,Ya hay más reencuentros de “Operación Triunfo” que ediciones de “Operación Triunfo”,1
262,"At Chatsworth House, a Tale of Five Centuries - The New York Times",0
263,The Uncomfortable Love Affair Between Donald Trump and the New England Patriots - The New York Times,0
264,John McCain Withdraws Support for Donald Trump After Disclosure of Recording - The New York Times,0
265,"The Strange, Unending Limbo of Egypt’s Hosni Mubarak - The New York Times",0
266,"Poverty Rose in 96% of U.S. House Districts, During Obama’s Presidency",1
267,Huma Abedin Seeks FBI Immunity Deal,1
268,"A Single Mom Escapes the Friend Zone, One Non-Date at a Time - The New York Times",0
269,Boeing Suits Up for Future of Spaceflight with New Spacesuit Design - Breitbart,0
270,Trump Floats an Olive Branch: Might Keep Parts of the Health Law - The New York Times,0
271,WaPo Tries to Compare Elizabeth Warren Breaking Senate Rules to MILO Being Shut Down by Violent Riot - Breitbart,0
272,A Crumpled School Bus Leaves Chattanooga Dazed - The New York Times,0
273,She Died And Came Back To Life With This Incredible Message For Humanity,1
274,How the Fight for a National African-American Museum Was Won - The New York Times,0
275,Father of Manchester Suicide Bomber Arrested in Libya - Breitbart,0
276,4 Secrets About True Leaders,1
277,Muslims DEMAND Locals Don’t Walk Dogs In Public – Violation Of Sharia And “DISRESPECTS” Them,1
278,Hillary Campaign Now in Bed with PAC Staff That Donated $500K to FBI Agent's Wife After Investigation,1
279,Still Not Over: They Are Trying to “Flip the Electoral College” To Block Trump’s Win,1
280,Al Sharpton to Dems: No Point Appealing to ‘Archie Bunker’ Trump Voters - Breitbart,0
281,Do you think there will be as many doom sayers if trump should get in office ?,1
282,Democrats Jump on Sessions Resignation Band Wagon - Breitbart,0
283,Russia and Turkey now sharing intelligence data,1
284,"Alt-Right Architect Glenn Beck Opens Fire On Alt-Right: ‘Grave Threat To The Republic’ (AUDIO, TWEET)",1
285,More Politicized Justice to Protect Hillary,1
286,"North Carolina, Saturated and Surprised, Reels from Hurricane Matthew - The New York Times",0
287,The Lives They Loved: Submit Your Memories - The New York Times,0
288,,1
289,"Achieving Mindfulness at Work, No Meditation Cushion Required - The New York Times",0
290,World’s First Zero-Emissions Hydrogen-Powered Passenger Train Unveiled In Germany,1
291,Confused by Chip Credit Cards? Get in Line - The New York Times,0
292,Britain sends hundreds of soldiers and tanks to Estonia in biggest military deployment since Cold War,1
293,Brooks: Trump ’Siding With a Foreign Leader Against the US President’ on Israel and Russia - Breitbart,0
294,There’s Toxic Air In Your Home and This Is You Can Get Rid of It Naturally,1
295,A Connecticut Reader Reports Record Voter Registration–Inspired By Trump,1
296,Germany Reacts to Merkel-Trump Visit: ‘Could Have Been a Lot Worse’ - The New York Times,0
297,Justin Rose Outduels Henrik Stenson for Golf Gold Medal - The New York Times,0
298,Iceland’s Water Cure - The New York Times,0
299,US to Hold Off on Cyberwar With Russia Until After Election - Jason Ditz,1
300,M.T.A. Shortens L Train Shutdown to 15 Months - The New York Times,0
301,What Time Will the Presidency Be Decided? - The New York Times,0
302,U.N. Relief Official Calls Crisis in Aleppo the ‘Apex of Horror’ - The New York Times,0
303,"After Berkeley, Treat the Violent, Anti-Speech Left Like the KKK",0
304,Statistical Propaganda: How many Syrians has US regime-change killed?,1
305,Why Self-Help Guru James Altucher Only Owns 15 Things - The New York Times,0
306,Trump’s Religious Liberty Order Gives Sessions Major Leeway - Breitbart,0
307,"¡Demoledor amparo contra Salgado, Keiko y 72 congresistas más!",1
308,"In Era of Trump, China’s President Champions Economic Globalization - The New York Times",0
309,"The Sad Saga Of John Walker Lindh, Rebel Without A Clue",1
310,Courts Disagree Over Michigan Vote Recount - The New York Times,0
311,Bernie Sanders’s Feud With the Democratic Leadership Heats Up - The New York Times,0
312,The shortest and most powerful explanation of Trump's victory I have ever seen,1
313,Russia Looks to Populate Its Far East. Wimps Need Not Apply. - The New York Times,0
314,"The Johnson Amendment, Which Trump Vows to ‘Destroy,’ Explained - The New York Times",0
315,Donald Trump to March for Life: ‘You Have My Full Support!’,0
316,"Police Official Found Dead on Long Island, and Suicide Is Suspected - The New York Times",0
317,"Life: If You Love Enamel Pins, You’ll Love This Etsy Shop, And If You Don’t Care About Enamel Pins, You’ll Explode Over This Picture Of A Bulldog Puppy, And If That Doesn’t Do It For You, You’ll Lose Your Shit Over This Amazing-Looking Pizza, And If You Don’t, We’ll Find Something For You",1
318,Nevada: Rep. Election Workers Intimidated,1
319,"Radical Changes Are In Store For The World And Global Markets, Are You Ready?",1
320,What It’s Like to Make It in Showbiz With Your Best Friend - The New York Times,0
321,Trump Nominates Neil Gorsuch to the Supreme Court - The New York Times,0
322,Sparks Fly as Bikers for Trump Meet Protesters,1
323,Bidders Cast Doubt on Seriousness of Mexican Border Wall Projects,0
324,What’s at stake in the US election?,1
325,Israel Approves Additional Funding for Settlements in West Bank - The New York Times,0
326,TX Gov Abbott: I Will Sign Legislation That Could Put Sheriffs of Sanctuary Cities in Jail - Breitbart,0
327,"Donald Trump Holds ‘Thank You’ Rally in Cincinnati, and Announces His Pick for Defense Secretary - The New York Times",0
328,Some Lawmakers Now Look to Bipartisanship on Health Care - The New York Times,0
